iter	Passed	Remaining
0	148	148529
1	152	75856
2	156	52164
3	160	40011
4	164	32675
5	167	27745
6	171	24372
7	175	21721
8	178	19662
9	182	18020
10	186	16803
11	189	15612
12	191	14544
13	193	13631
14	195	12836
15	197	12141
16	199	11541
17	201	11019
18	203	10526
19	205	10080
20	207	9689
21	209	9326
22	211	8988
23	213	8695
24	215	8405
25	216	8124
26	218	7862
27	219	7617
28	220	7392
29	222	7190
30	223	6991
31	224	6805
32	226	6630
33	227	6471
34	229	6326
35	230	6182
36	232	6043
37	233	5912
38	235	5790
39	236	5672
40	237	5557
41	238	5448
42	240	5347
43	241	5249
44	243	5159
45	244	5077
46	246	4989
47	247	4906
48	248	4829
49	250	4753
50	251	4678
51	252	4606
52	254	4539
53	255	4473
54	256	4415
55	258	4365
56	260	4308
57	262	4255
58	263	4201
59	264	4149
60	266	4098
61	267	4048
62	268	4000
63	270	3952
64	271	3906
65	273	3863
66	274	3824
67	276	3788
68	278	3753
69	279	3715
70	281	3679
71	283	3656
72	285	3621
73	286	3586
74	288	3558
75	290	3529
76	291	3498
77	293	3466
78	294	3435
79	296	3404
80	297	3375
81	298	3346
82	299	3309
83	300	3280
84	302	3252
85	303	3226
86	305	3200
87	306	3175
88	307	3149
89	308	3123
90	310	3098
91	311	3074
92	312	3051
93	314	3028
94	315	3005
95	316	2983
96	318	2968
97	320	2949
98	321	2930
99	323	2911
100	324	2892
101	326	2874
102	328	2857
103	329	2837
104	330	2818
105	331	2799
106	333	2781
107	334	2764
108	335	2746
109	337	2728
110	338	2710
111	339	2693
112	341	2676
113	342	2660
114	343	2644
115	344	2628
116	345	2610
117	347	2595
118	348	2581
119	350	2566
120	351	2551
121	352	2535
122	353	2521
123	354	2507
124	356	2493
125	357	2479
126	358	2464
127	359	2451
128	361	2438
129	362	2425
130	363	2412
131	365	2401
132	366	2388
133	367	2376
134	369	2364
135	370	2352
136	371	2340
137	372	2329
138	374	2318
139	375	2307
140	376	2296
141	377	2282
142	379	2271
143	380	2261
144	381	2250
145	383	2241
146	384	2231
147	385	2221
148	387	2210
149	388	2200
150	389	2191
151	391	2181
152	392	2171
153	393	2162
154	394	2152
155	396	2144
156	397	2135
157	398	2126
158	400	2117
159	401	2108
160	402	2096
161	403	2088
162	405	2079
163	406	2071
164	407	2062
165	408	2054
166	410	2045
167	411	2038
168	412	2030
169	414	2022
170	415	2014
171	416	2006
172	418	1998
173	419	1991
174	420	1983
175	422	1975
176	423	1968
177	424	1960
178	425	1953
179	427	1946
180	428	1939
181	429	1932
182	431	1924
183	433	1920
184	434	1914
185	436	1908
186	437	1901
187	438	1894
188	440	1888
189	441	1882
190	443	1876
191	444	1870
192	445	1863
193	447	1857
194	448	1850
195	449	1844
196	450	1838
197	452	1831
198	453	1825
199	454	1819
200	456	1813
201	457	1808
202	459	1802
203	460	1796
204	461	1790
205	463	1784
206	464	1779
207	465	1773
208	466	1767
209	468	1761
210	469	1755
211	470	1750
212	472	1744
213	473	1739
214	474	1733
215	476	1728
216	477	1723
217	478	1717
218	479	1711
219	481	1705
220	482	1700
221	483	1695
222	485	1690
223	486	1684
224	487	1679
225	489	1674
226	490	1669
227	491	1664
228	492	1659
229	494	1654
230	495	1649
231	496	1644
232	498	1639
